Rsznr.;Naam;NACE Code;Sector;Belangrijkheid;Taal;Straat;Postnr.;Letter;Gemeente;Provincie;AantalBedienden;Trimester;Adrestype;Contacttype;Aanspreektitel;Voornaam Contactpersoon;Naam Contactpersoon;Foutief Adres;Ontvangt Mailing;Mailingadres;EMail;Par. Comité;Kengetal RSZ;Goedgekeurd;Telefoon;Fax;GSM;Plain text;PDF;E-Zine
012270693;AIR LIQUIDE WELDING  BELGIUM SA;46699;;20-49;Nederlands;QUAI DES VENNES 8;4020;A;Bressoux;LIEGE;32;101;RSZ;(contacttypes);t.a.v. de heer;Chris;De Baerdemaeker;Nee;Nee;Ja;chris.debaerdemaeker@airliquide.com;218;077;Ja;016/80.48.20;016/80.48.47;;Nee;Nee;Ja
012275834;DISTRISUD BELLENS SA;46180;;50-99;Frans;BLD CUIVRE ET ZINC 35;4030;A;Grivegnee (Liege);LIEGE;27;101;RSZ;(contacttypes);à l'attn. de Monsieur;Hubert;Lindebrings;Nee;Nee;Ja;hubertlinderbrings@ampnet.be;218;010;Ja;04/340.21.10;;;Nee;Nee;Ja
012223066;GRIMA SA;46731;;5-9;Frans;Rue Saint-Léonard 482;4000;B;Liege 1;LIEGE;6;103;;(contacttypes);;;;Nee;Ja;Nee;;;077;Nee;;;;Nee;Nee;Nee
012272148;ETS DAMBOIS V. SA;46736;;50-99;Frans;QUAI DE CORONMEUSE 39;4000;B;Liege 1;LIEGE;81;103;;(contacttypes);;;;Nee;Nee;Nee;;;077;Nee;;;;Nee;Nee;Nee
012277774;SPORTS LOISIRS INDUSTRIE  SA SPLIN;46431;;10-19;Frans;R.DU GAY VILLAGE 12 A;4020;C;Liège 2;LIEGE;7;101;;(contacttypes);;;;Nee;Nee;Nee;;;077;Nee;;;;Nee;Nee;Nee
012284370;ETS BRASSEUR TH SA;45310;;10-19;Frans;RUE DE STEPPES 13;4000;B;Liege 1;LIEGE;9;101;RSZ;(contacttypes);;;Responsable de la formation;Nee;Nee;Ja;;218;077;Ja;;;;Nee;Nee;Nee
012392719;PORTIER JOSEPH SPRL;46732;;1-4;Frans;RUE DE PORTO 139;4020;A;Bressoux;LIEGE;1;101;RSZ;(contacttypes);à l'attn. de Madame;Marcelline;Jamar;Nee;Nee;Ja;portier.bois@busmail.net;218;010;Ja;04/343 16 44;04/343 02 33;;Nee;Nee;Ja
012285922;CENTRALE DEFI SA;46496;;1-4;Frans;RUE PRE-BINET 16;4020;C;Liège 2;LIEGE;1;101;;(contacttypes);;;;Nee;Nee;Nee;;;010;Nee;;;;Nee;Nee;Nee
012392428;SA DES ATELIERS J. ET J. DEWANDRE DIVISION ATELIER;27120;;20-49;Frans;RUE DE L'EXPANSION 45;4460;A;Bierset;LIEGE;10;074;;(contacttypes);;;;Nee;Nee;Nee;;;067;Nee;;;;Nee;Nee;Nee
012366723;SC ROYAL GOLF CLUB SART TILMAN;93110;;10-19;Frans;ROUTE DU CONDROZ 541;4031;A;Angleur;LIEGE;3;101;;(contacttypes);;;;Nee;Nee;Nee;;;094;Nee;;;;Nee;Nee;Nee
012286019;MARCEL JAMIN SA;46392;;1-4;Frans;RUE SAINT-REMACLE 5;4020;C;Liège 2;LIEGE;0;081;;(contacttypes);;;;Ja;Nee;Nee;;;057;Nee;;;;Nee;Nee;Nee
012423371;COLLINET VERCHEVAL SA GRES BETON;23322;;10-19;Frans;RUE DU TRIXHAY 39;4020;C;Liège 2;LIEGE;4;094;;(contacttypes);;;;Nee;Nee;Nee;;;010;Nee;;;;Nee;Nee;Nee
012326953;UNITAX SC .;52210;;5-9;Frans;RUE ALBAN-POULET 2;4032;A;Chenee;LIEGE;4;101;;(contacttypes);;;;Nee;Nee;Nee;;;010;Nee;;;;Nee;Nee;Nee
012400576;AMCOR VERAMIC SA;23130;;20-49;Frans;AV DE L INFORMATIQUE 5;4460;A;Bierset;LIEGE;8;101;;(contacttypes);;;;Nee;Nee;Nee;;;061;Nee;;;;Nee;Nee;Nee
012393107;NIC.PETIT ET FILS SPRL;43910;;10-19;Frans;AV DE LA CROIX-ROUGE 150;4020;C;Liège 2;LIEGE;2;101;;(contacttypes);;;;Nee;Nee;Nee;;;054;Nee;;;;Nee;Nee;Nee
012295816;IGEPA ANS SA;46493;;20-49;Frans;RUE DE BRUXELLES 174;4340;A;Awans;LIEGE;14;101;RSZ;(contacttypes);;;Responsable de la formation;Nee;Nee;Ja;;218;010;Ja;;;;Nee;Nee;Nee
012452374;GRIGNET ET BREDA SA;43320;;5-9;Frans;RUE DU REWE 6;4102;A;Ougree;LIEGE;1;101;;(contacttypes);;;;Nee;Nee;Nee;;;026;Nee;;;;Nee;Nee;Nee
012540159;SPRL IMPRIMERIE KAISER;18120;;5-9;Frans;AV GEORGES TRUFFAUT 42;4020;A;Bressoux;LIEGE;0;101;RSZ;(contacttypes);;;Responsable du personnel;Nee;Nee;Ja;;218;036;Ja;087/30.60.10;087/30.60.11;;Nee;Nee;Nee
012550538;MOULAN SA;46742;;20-49;Frans;AVENUE DU PARC 28;4650;C;Herve;LIEGE;23;101;RSZ;(contacttypes);à l'attn. de Monsieur;Jean;Degey;Nee;Nee;Ja;;218;077;Ja;087/31.34.71;;;Nee;Nee;Nee
012571684;SOCIETE VVE C.CENTNER FILS SPRL;46751;;5-9;Frans;RUE DE LIEGE 30;4800;E;Verviers;LIEGE;3;101;;(contacttypes);;;;Nee;Nee;Nee;;;010;Nee;;;;Nee;Nee;Nee
012818355;GARAGE DU PERRON SA;49310;;20-49;Frans;PLACE XHOVEMONT 53;4800;E;Verviers;LIEGE;1;101;;(contacttypes);;;;Nee;Nee;Nee;;;085;Nee;;;;Nee;Nee;Nee
012821265;AUTOBUS GOHY FR ET CIE SA;49310;;20-49;Frans;RUE DES VILLAS 3;4910;C;Theux;LIEGE;2;101;;(contacttypes);;;;Nee;Nee;Nee;;;085;Nee;;;;Nee;Nee;Nee
013265719;F.HENNING ET FILS SA;46699;;10-19;Frans;RUE FERRER 252;4100;B;Seraing;LIEGE;2;101;RSZ;(contacttypes);;;Responsable de la formation;Nee;Nee;Ja;henning_sa@swing.be;218;077;Ja;;;;Nee;Nee;Ja
013318778;CLAESSENS WETTSTEIN ET FILS SA;46720;;10-19;Frans;R.CROIX ROUGE 17A;4600;D;Vise;LIEGE;5;101;RSZ;(contacttypes);;;Responsable de la formation;Nee;Nee;Ja;;218;077;Ja;;;;Nee;Nee;Nee
013294528;MAISON GASTON DELCOURT SA;46431;;5-9;Frans;RUE DU CALVAIRE 182;4000;B;Liege 1;LIEGE;6;101;;(contacttypes);;;;Nee;Nee;Nee;;;010;Nee;;;;Nee;Nee;Nee
013326344;IMPRIMERIE EDITIONS DRICOT SPRL;18130;;1-4;Frans;PLACE RESISTANCE 12;4020;C;Liège 2;LIEGE;0;093;;(contacttypes);;;;Nee;Nee;Nee;;;036;Nee;;;;Nee;Nee;Nee
014056463;SPRL GARAGE VANDERMEER BRUMIOUL;45113;;1-4;Frans;RUE DE L'YSER 388;4430;A;Ans;LIEGE;1;101;;(contacttypes);;;;Nee;Nee;Nee;;;064;Nee;;;;Nee;Nee;Nee
015449674;SA CIAUTO;45113;;10-19;Frans;RTE DE LANDEN 120;4280;I;Hannut;LIEGE;5;101;RSZ;(contacttypes);;;Responsable de la formation;Nee;Nee;Ja;;218;064;Ja;;;;Nee;Nee;Nee
014340770;CONTROLE TECHNIQUE AUTOMOBILE;71201;;200-499;Frans;Avenue du Parc S/N;4800;E;Verviers;LIEGE;202;101;Kontaktpersoon;(contacttypes);;Marion;Noe;Nee;Nee;Ja;marionoe@skynet.be;218;064;Ja;;;;Nee;Nee;Ja
014674644;VERMEIRE TRANSMISSIONS SA;46699;;20-49;Frans;RUE DE LA FILATURE 41;4800;A;Ensival;LIEGE;26;101;RSZ;(contacttypes);à l'attn. de Madame;Anne;Vermeire;Nee;Nee;Ja;;218;077;Ja;087/32.23.60;19/08/2010;;Nee;Nee;Nee
014340770;CONTROLE TECHNIQUE AUTOMOBILE;71201;;200-499;Frans;Avenue du Parc S/N;4800;E;Verviers;LIEGE;202;101;Kontaktpersoon;(contacttypes);à l'attn. de Monsieur;Bruno;Sarrand;Nee;Nee;Ja;;218;064;Ja;02/736 59 84;02/736 24 06;;Nee;Nee;Nee
014340770;CONTROLE TECHNIQUE AUTOMOBILE;71201;;200-499;Frans;Avenue du Parc S/N;4800;E;Verviers;LIEGE;202;101;RSZ;(contacttypes);à l'attn. de Monsieur;Claude;Brogniet;Nee;Nee;Ja;cta@skynet.be;218;064;Ja;;;;Nee;Nee;Ja
014340770;CONTROLE TECHNIQUE AUTOMOBILE;71201;;200-499;Nederlands;Avenue du Parc S/N;4800;E;Verviers;LIEGE;202;101;Kontaktpersoon;(contacttypes);t.a.v. mevr.;Karin;Smets;Nee;Nee;Ja;;218;064;Ja;;;;Nee;Nee;Nee
014664071;MEUNERIE LIEGEOIS SA;46216;;1-4;Frans;PL DU MARCHE 26B;4651;A;Battice;LIEGE;1;101;;(contacttypes);;;;Nee;Nee;Nee;;;057;Nee;;;;Nee;Nee;Nee
014731001;FR NOIRFALISE ET FILS SPRL;46772;;10-19;Frans;RUE DE LIMBOURG 198Z;4800;E;Verviers;LIEGE;5;101;;(contacttypes);;;;Nee;Nee;Nee;;;079;Nee;;;;Nee;Nee;Nee
014855258;ISPC INTERNATIONAL SA;46900;;50-99;Frans;Route de Liers 125;4042;A;Liers;LIEGE;57;101;Bedrijfsdossiers;(contacttypes);à l'attn. de Madame;Agnes;Collet;Nee;Nee;Ja;acollet@ispc-int.com;218;057;Ja;04 278 92 28;04 278 92 48;0495 27 23 44;Nee;Nee;Ja
015407770;IMERYS MINERAUX BELGIQUE SA;23990;;100-199;Frans;Rue du Canal 2;4600;D;Vise;LIEGE;77;101;RSZ;(contacttypes);à l'attn. de Madame;Pascale;Seret;Nee;Nee;Ja;jose.gonzalez@imerys.com;218;010;Ja;04/3799801;04/3798279;;Nee;Nee;Ja
015435221;COMPAGNIE DES AUTOBUS LIEGEOIS SA;49310;;20-49;Frans;GRAND ROUTE(RVX) 77;4140;D;Sprimont;LIEGE;2;101;RSZ;(contacttypes);à l'attn. de Madame;D.;DUBOIS-VIGNERON;Nee;Nee;Ja;;218;085;Ja;04/384 04 20;04/384 04 30;;Nee;Nee;Nee
015595271;ETABLISSEMENTS DEHON  SA;45113;;20-49;;AV. OLYMPE-GILBART 1A;4000;B;Liege 1;LIEGE;14;101;RSZ;(contacttypes);;;null;Nee;Nee;Ja;;218;064;Ja;04/224 94 94;19/08/2010;;Nee;Nee;Nee
015595756;SOCIETE INTERNATIONALE DE MOTEURS ELECTRIQUES SA SIME;27110;;10-19;Frans;RUE RAFHAY 20;4630;C;Soumagne;LIEGE;1;101;;(contacttypes);;;;Nee;Nee;Nee;;;067;Nee;;;;Nee;Nee;Nee
016019258;HENKENS FRERES  SA;43222;;100-199;Frans;RUE ST MARTIN 6;4841;A;Henri-Chapelle;LIEGE;8;101;RSZ;(contacttypes);à l'attn. de Monsieur;Jose;Henkens;Nee;Nee;Ja;info@camair.be;218;026;Ja;;;;Nee;Nee;Ja
015891024;SC DE CREDIT A L OUTILLAGE ARTISANAL DE LIEGE;66199;;1-4;Frans;BLD DE LA SAUVENIERE 42;4000;B;Liege 1;LIEGE;3;101;;(contacttypes);;;;Nee;Nee;Nee;;;010;Nee;;;;Nee;Nee;Nee
016473315;AUG. LEBEAU-COURELLY SPRL;25400;;10-19;Frans;RUE SAINT-GILLES 386;4000;B;Liege 1;LIEGE;2;101;;(contacttypes);;;;Nee;Nee;Nee;;;010;Nee;;;;Nee;Nee;Nee
017020492;SA GRAVAUBEL;23990;;20-49;Frans;RUE DE L'ILE-MONSIN 80;4020;A;Bressoux;LIEGE;13;101;;(contacttypes);;;;Nee;Nee;Nee;;;024;Nee;;;;Nee;Nee;Nee
016409877;OUTIBEST SA;46741;;5-9;Frans;RUE FERNAND HOUGET 19;4800;E;Verviers;LIEGE;4;082;RSZ;(contacttypes);;;Responsable de la formation;Nee;Nee;Ja;;218;077;Ja;;;;Nee;Nee;Nee
017168805;SA ET SPIRLET HENR GARAGISTE;45201;;10-19;Frans;RUE DE JUPILLE 40;4600;D;Vise;LIEGE;4;101;;(contacttypes);;;;Nee;Nee;Nee;;;064;Nee;;;;Nee;Nee;Nee
017156777;MAISON DOYEN SA;46732;;10-19;Frans;RUE DU CHARBONNAGE SN;4100;B;Seraing;LIEGE;14;101;RSZ;(contacttypes);à l'attn. de Monsieur;Pierre;Vaillant;Nee;Nee;Ja;;218;010;Ja;04/385.95.95;19/08/2010;;Nee;Nee;Nee
017415282;SPRL ENTR.DE VITRAGE EN TOUS GENRES MARCEL DELVOIE;43343;;1-4;Frans;RUE PAQUAY 22;4100;B;Seraing;LIEGE;1;101;;(contacttypes);;;;Nee;Nee;Nee;;;026;Nee;;;;Nee;Nee;Nee
017403448;AGEROPA SA;46492;;1-4;Frans;R FOND DES FOURCHES 20;4041;A;Milmort;LIEGE;2;101;RSZ;(contacttypes);;;Responsable du personnel;Nee;Nee;Ja;;218;010;Ja;02/462 31 50;02/460 44 72;;Nee;Nee;Nee
017754297;ENTREPRISE DE TRAVAUX PUBLICS ET PRIVES G.ETIENNE SA;42110;;1-4;Frans;CHEMIN DE XHENORIE 1;4890;A;Clermont (Lg.);LIEGE;1;074;RSZ;(contacttypes);;;Responsable de la formation;Nee;Nee;Ja;;218;024;Ja;;;;Nee;Nee;Nee
018177217;ACIERS CRUSTIN SA;46720;;5-9;Frans;RUE SIMON LOBET 56;4800;E;Verviers;LIEGE;4;101;;(contacttypes);;;;Nee;Nee;Nee;;;077;Nee;;;;Nee;Nee;Nee
017811624;SYNDEX SPRL;46496;;1-4;Frans;RUE DE HERVE 239;4030;A;Grivegnee (Liege);LIEGE;1;101;;(contacttypes);;;;Nee;Nee;Nee;;;010;Nee;;;;Nee;Nee;Nee
018137738;LES ACIERS FINS DE LA SARRE SA;46720;;10-19;Frans;RUE DE DROIXHE 40;4020;C;Liège 2;LIEGE;6;101;;(contacttypes);;;;Nee;Nee;Nee;;;077;Nee;;;;Nee;Nee;Nee
018034142;INCOTECH SA;64200;;1-4;Frans;RUE ENTRE-DEUX-VILLES 35;4670;A;Blegny;LIEGE;2;101;;(contacttypes);;;;Nee;Nee;Nee;;;010;Nee;;;;Nee;Nee;Nee
018751651;IMPRIMERIE WAGELMANS SA;18120;;10-19;Frans;RUE ST HADELIN 12;4600;D;Vise;LIEGE;5;101;RSZ;(contacttypes);à l'attn. de Monsieur;Guy;Wagelmans;Nee;Nee;Ja;guy@wagelmans.net;218;036;Ja;04/379.16.88;04/379.91.29;;Nee;Nee;Ja
019190867;LA CLOCHE SCRL;45113;;20-49;Frans;RUE DE HOLLOGNE 103;4101;A;Jemeppe-sur-Meuse;LIEGE;8;101;;(contacttypes);;;;Nee;Nee;Nee;;;064;Nee;;;;Nee;Nee;Nee
019446850;SA ENTREPRISES RINALDI YVO;43341;;20-49;Frans;R FLEMALLE-GRANDE 33;4400;C;Flemalle;LIEGE;6;101;RSZ;(contacttypes);à l'attn. de Monsieur;G.;Tomet;Nee;Nee;Ja;rinaldi@tiscali.be;218;026;Ja;04/337 58 05;;;Nee;Nee;Ja
019314930;BERVAES ET FILS SA;46693;;5-9;Frans;RUE GRETRY 177-179;4020;C;Liège 2;LIEGE;3;101;;(contacttypes);;;;Nee;Nee;Nee;;;067;Nee;;;;Nee;Nee;Nee
020295891;FOIRE INTERNATIONALE DE LIEGE  SC;90023;;10-19;Frans;AVENUE MAURICE-DENIS 4;4000;B;Liege 1;LIEGE;7;101;Bedrijfsdossiers;(contacttypes);à l'attn. de Monsieur;J.;Dangez;Nee;Nee;Ja;info@fil.be;218;010;Ja;04/227 19 34;04/227 18 95;;Nee;Nee;Ja
020149421;ETS TRUILLET SPRL;45201;;1-4;Frans;RUE F. NICOLAY 34-36;4102;A;Ougree;LIEGE;1;101;;(contacttypes);;;;Nee;Nee;Nee;;;064;Nee;;;;Nee;Nee;Nee
021116317;ETS ABEL FALISSE SA;46699;;10-19;Frans;AVENUE EMILE-DIGNEFFE 26;4000;B;Liege 1;LIEGE;13;101;RSZ;(contacttypes);;;Responsable de la formation;Nee;Nee;Ja;;218;010;Ja;;;;Nee;Nee;Nee
021169570;T.C.M.CARS SA;49310;;50-99;Frans;AV DE NAVAGNE 62;4600;D;Vise;LIEGE;3;101;;(contacttypes);;;;Nee;Nee;Nee;;;085;Nee;;;;Nee;Nee;Nee
021226703;ETS CLOSE ET FILS SA;46772;;5-9;Frans;RUE DES GRANDS-PRES 145;4032;A;Chenee;LIEGE;3;101;;(contacttypes);;;;Nee;Nee;Nee;;;079;Nee;;;;Nee;Nee;Nee
021316331;SOBELPU SPRL;46499;;5-9;Frans;RUE DES PEPINIERES 30 B;4632;A;Cerexhe-Heuseux;LIEGE;4;101;RSZ;(contacttypes);à l'attn. de Monsieur;Jean-Pierre;Bree;Nee;Nee;Ja;info@sobelpu.be;218;010;Ja;04/387 86 85;04/387 86 86;;Nee;Nee;Ja
021419054;OUTILAC SA;46620;;20-49;Frans;RUE J. WETTINCK 31;4101;A;Jemeppe-sur-Meuse;LIEGE;32;101;RSZ;(contacttypes);à l'attn. de Madame;Regine;Dahner;Nee;Nee;Ja;info@outilac.be;218;077;Ja;04/234.77.77;04/234.77.88;;Nee;Nee;Ja
022126572;RENE LIBERT  SA;46732;;5-9;Frans;RUE EMILE GOEDERT 16;4970;B;Stavelot;LIEGE;7;101;;(contacttypes);;;;Nee;Nee;Nee;;;010;Nee;;;;Nee;Nee;Nee
021939556;SA IMPRIMERIE WALLONNE DES COMMUNES;18120;;1-4;Frans;BD CUIVRE & ZINC 27;4030;A;Grivegnee (Liege);LIEGE;2;101;;(contacttypes);;;;Nee;Nee;Nee;;;036;Nee;;;;Nee;Nee;Nee
021744974;BROYEURS SOUDRON SACRE SA;71121;;5-9;Frans;RUE CHAUSSEE 60;4342;A;Hognoul;LIEGE;9;101;RSZ;(contacttypes);à l'attn. de Monsieur;;Nahmias;Nee;Nee;Ja;info@broyeurs-soudron.com;218;010;Ja;04/263.41.34;04/263.26.61;;Nee;Nee;Ja
022844857;ETS JAMBLIN FRERES SA;46693;;5-9;Frans;RUE P. JOSEPH ANTOINE 79;4040;A;Herstal;LIEGE;6;101;;(contacttypes);;;;Nee;Nee;Nee;;;077;Nee;;;;Nee;Nee;Nee
022742037;URLICH ET VALENTIN SA;46412;;1-4;Frans;AVENUE DU TENNIS 4;4802;A;Heusy;LIEGE;2;101;;(contacttypes);;;;Nee;Nee;Nee;;;010;Nee;;;;Nee;Nee;Nee
022664825;SA SODIA;45113;;5-9;Frans;RUE LOUIS-BOUMAL 24;4000;B;Liege 1;LIEGE;3;101;;(contacttypes);;;;Nee;Nee;Nee;;;064;Nee;;;;Nee;Nee;Nee
023337326;SATRACOM SA;49310;;100-199;Frans;RUE DE HOTTLEUX 63;4950;D;Waimes;LIEGE;5;101;RSZ;(contacttypes);à l'attn. de Monsieur;Roland;Jost;Nee;Nee;Ja;;218;085;Ja;;;;Nee;Nee;Nee
023651509;MAISON JEANMART SPRL;46425;;1-4;Frans;RUE DES ANGLAIS 5;4430;A;Ans;LIEGE;3;101;RSZ;(contacttypes);;;Responsable de la formation;Nee;Nee;Ja;;218;069;Ja;;;;Nee;Nee;Nee
023695159;MARNEBEL SA;8112;;5-9;Frans;RUE DU GARAGE SN;4690;A;Bassenge;LIEGE;2;101;;(contacttypes);;;;Nee;Nee;Nee;;;463;Nee;;;;Nee;Nee;Nee
023698748;CHAUSSURES FRANCOIS JEANMART SA;47721;;5-9;Frans;RUE NEUVE 17;4032;A;Chenee;LIEGE;8;101;;(contacttypes);;;;Nee;Nee;Nee;;;069;Nee;;;;Nee;Nee;Nee
023457218;HYDROGAZ SA;42919;;100-199;Frans;Rue de l'Informatique 3;4460;C;Grace-Hollogne;LIEGE;19;101;Bedrijfsdossiers;(contacttypes);à l'attn. de Madame;Nadia;Greffe;Nee;Nee;Ja;greffe@hydrogaz.be;218;024;Ja;04/247 60 61;02/247 60 69;;Nee;Nee;Ja
023457218;HYDROGAZ SA;42919;;100-199;Frans;Rue de l'Informatique 3;4460;C;Grace-Hollogne;LIEGE;19;101;Kontaktpersoon;(contacttypes);à l'attn. de Madame;Paulette;Risko;Nee;Nee;Ja;;218;024;Ja;04/247 60 60;04/247 60 69;;Nee;Nee;Nee
024400058;MCB BELGIQUE SA;46720;;100-199;Frans;R J LAMBERT DEFRENE 107;4340;A;Awans;LIEGE;45;101;;(contacttypes);;;;Nee;Nee;Nee;;;077;Nee;;;;Nee;Nee;Nee
024980991;JEMEPPE MOTOR SPRL;45204;;10-19;Frans;RUE DE FLEMALLE 196;4101;A;Jemeppe-sur-Meuse;LIEGE;4;101;;(contacttypes);;;;Nee;Nee;Nee;;;064;Nee;;;;Nee;Nee;Nee
043603827;VAN LOO HENRI;47300;;1-4;Frans;CHEE DE LIEGE 171;4460;A;Bierset;LIEGE;1;101;;(contacttypes);;;;Nee;Nee;Nee;;;064;Nee;;;;Nee;Nee;Nee
043632345;GARAGE BUCHE SPRL;45113;;1-4;Frans;CHEMIN DE TANCREMONT 25;4910;C;Theux;LIEGE;2;101;;(contacttypes);;;;Ja;Nee;Nee;;;064;Nee;;;;Nee;Nee;Nee
043634867;ETS M.CRESPIN SA;46620;;10-19;Frans;QUAI DU HALAGE 42;4420;A;Montegnee;LIEGE;7;101;;(contacttypes);;;;Nee;Nee;Nee;;;067;Nee;;;;Nee;Nee;Nee
043637195;LEPOT SPRL BOIS ET MATERIAUX DE CONSTRUCTIONS;46731;;20-49;Frans;GRAND-ROUTE 141;4690;A;Bassenge;LIEGE;22;101;RSZ;(contacttypes);;;Responsable de la formation;Nee;Nee;Ja;;218;026;Ja;;;;Nee;Nee;Nee
043651648;ALBERT DELHALLE ET FILS SA;46349;;1-4;Frans;PLACE D'ITALIE 1;4020;C;Liège 2;LIEGE;1;101;;(contacttypes);;;;Nee;Nee;Nee;;;057;Nee;;;;Nee;Nee;Nee
043666004;SECURITEL SPRL;46499;;1-4;Frans;RUE PIERRE JOSEPH A 111;4040;A;Herstal;LIEGE;2;101;;(contacttypes);;;;Nee;Nee;Nee;;;067;Nee;;;;Nee;Nee;Nee
043706065;GRES DU BOIS D ANTHISNES  SPRL;8111;;5-9;Frans;RUE SART 47;4171;A;Poulseur;LIEGE;2;101;;(contacttypes);;;;Nee;Nee;Nee;;;010;Nee;;;;Nee;Nee;Nee
043686665;CONCEPTION ETUDE ET COOPERATION DE FORMATION SA;85592;;10-19;Frans;RUE LEON FREDERICQ 14;4020;C;Liège 2;LIEGE;16;101;RSZ;(contacttypes);à l'attn. de Monsieur;Uhoda;Stéphane;Nee;Nee;Ja;;218;010;Ja;04/3441562;;;Nee;Nee;Nee
043749230;GILCO SA;46392;;20-49;Frans;RUE DES ANGLAIS 5;4430;A;Ans;LIEGE;11;101;RSZ;(contacttypes);à l'attn. de Monsieur;Ponthier;Claude;Ja;Nee;Ja;;218;057;Ja;04/3691343;;;Nee;Nee;Nee
043723040;CARAVANES LEMPEREUR SPRL;45194;;1-4;Frans;RUE DE BATTICE 84;4800;E;Verviers;LIEGE;1;101;;(contacttypes);;;;Nee;Nee;Nee;;;064;Nee;;;;Nee;Nee;Nee
043704125;KITGONI SPRL;43211;;1-4;Frans;RUE DE JOIE 21;4000;B;Liege 1;LIEGE;2;101;;(contacttypes);;;;Nee;Nee;Nee;;;067;Nee;;;;Nee;Nee;Nee
043814802;DECHAMPS SA;47781;;5-9;Frans;O L'Z-EYOS 5;4960;C;Malmedy;LIEGE;1;101;;(contacttypes);;;;Nee;Nee;Nee;;;091;Nee;;;;Nee;Nee;Nee
043880568;ENTREPRISE REMANS FRERES SA;43320;;5-9;Frans;AUX HOUX 9-12;4480;C;Engis;LIEGE;1;101;;(contacttypes);;;;Nee;Nee;Nee;;;026;Nee;;;;Nee;Nee;Nee
